title,release_date,vote_average,runtime,genre_names,,,title,release_date,vote_average,runtime,genre_names
El Latido Desnudo,2017-12-03,0.0,0,"Crime, Horror",,,,,,,
Inferno,2019-10-19,6.5,7,Horror,,,,,,,
Sabrina,2011-02-18,0.0,0,"Comedy, Horror",,,,,,,
Insight of Evil 2: Vengeance,2019-10-31,0.0,85,Horror,,,,,,,
The Rental,2019-10-25,8.0,80,"Comedy, Horror",,,,,,,
Get the Hell Out,2020-08-14,6.5,96,"Action, Comedy, Horror",,,,,,,
Juken Zombie,2019-10-20,0.0,60,"Drama, Horror",,,,,,,
The Caretaker,2018-04-19,0.0,13,Horror,,,,,,,
Performaniax,2020-07-17,5.0,76,"Comedy, Horror",,,,,,,
Enter the Sinister Set of 'Cry Wolf': A Tour with Actor Julian Morris,2006-05-31,10.0,12,"Documentary, Fantasy, History, Horror, Mystery",,,,,,,
Werewolf,2020-08-28,3.0,10,"Comedy, Horror",,,,,,,
The Rink,2019-12-06,0.0,13,Horror,,,,,,,
A Night in Camp Heebie Jeebie,2020-08-28,0.0,6,"Animation, Comedy, Horror",,,,,,,
The Attachment Diaries,2021-10-07,6.0,102,"Drama, Horror, Mystery, Thriller",,,,,,,
Danni and The Vampire,2022-01-14,9.5,103,"Comedy, Horror",,,,,,,
Peaking,2020-10-24,10.0,7,Horror,,,,,,,
Gregory,2017-10-01,6.5,3,"Comedy, Horror",,,,,,,
Full Size,2020-10-20,7.0,10,"Comedy, Horror",,,,,,,
A Place Among the Dead,2020-11-09,3.0,76,"Crime, Horror, Thriller",,,,,,,
Go Nagai's Scary Zone 2: Senki,1990-06-24,0.0,50,Horror,,,,,,,
Kratt,2020-11-13,2.5,107,"Comedy, Fantasy, Horror",,,,,,,
Apps,2021-07-10,0.0,91,"Comedy, Horror, Science Fiction",,,,,,,
Blood Surf,2016-12-12,0.0,0,Horror,,,,,,,
Revenge of the Zombies,2022-06-25,0.0,0,Horror,,,,,,,
Bloody Nun 2: The Curse,2021-01-01,0.0,70,Horror,,,,,,,
The Werewolf Game: Death Game's Operator,2020-11-13,0.0,103,"Horror, Thriller",,,,,,,
The Ultimate Dilemma Part 2,2020-12-12,0.0,77,"Horror, Thriller",,,,,,,
Todd,2021-03-21,7.3,91,"Drama, Horror, Mystery, Thriller",,,,,,,
Shiori's Naughty Dreams,2019-08-23,0.0,74,Horror,,,,,,,
Musclecar,2017-11-01,6.0,77,"Comedy, Horror, Thriller",,,,,,,
Shark Island,2020-09-01,10.0,90,"Action, Adventure, Horror",,,,,,,
A Brave New World,2012-04-05,0.0,41,"Horror, Science Fiction",,,,,,,
The Devil's Deception,2022-04-29,0.0,98,Horror,,,,,,,
Everyone Will Burn,2021-10-16,0.0,125,Horror,,,,,,,
Chemistry,2009-11-20,0.0,116,Horror,,,,,,,
Nocturna - The Great Old Man's Night,2020-10-09,7.3,104,"Drama, Horror, Thriller",,,,,,,
"Brutal Realty, Inc.",2019-06-15,5.7,15,"Comedy, Horror, Music",,,,,,,
Squeal,2020-07-17,0.0,16,Horror,,,,,,,
The Spore,2021-10-09,3.8,91,Horror,,,,,,,
The Bird Game,2019-11-13,0.0,20,"Fantasy, Horror",,,,,,,
Repo! The Genetic Opera,2006-01-01,2.0,10,Horror,,,,,,,
Dindon Sauvage (La dinde noire),2016-04-01,10.0,2,Horror,,,,,,,
Skeleton Key 3 Part 2,2017-01-30,0.0,119,Horror,,,,,,,
Howard’s Mill,2021-03-23,6.4,96,"Documentary, Horror",,,,,,,
The Changed,2021-08-27,4.0,78,"Horror, Science Fiction",,,,,,,
Death Knot,2021-06-30,6.0,103,Horror,,,,,,,
As the Village Sleeps,2021-06-18,0.0,82,Horror,,,,,,,
Vostok,2015-09-25,0.0,14,"Comedy, Fantasy, Horror, Romance, Science Fiction",,,,,,,
Huwag Kang Lalabas,2021-12-25,0.0,128,Horror,,,,,,,
A Savannah Haunting,2022-10-28,0.0,103,"Drama, Horror, Thriller",,,,,,,
The Naked Eye,2021-10-31,2.0,14,"Comedy, Horror",,,,,,,
Noah’s Shark,2021-11-02,4.3,71,"Horror, Thriller",,,,,,,
Mudmonster,2021-01-01,0.0,25,Horror,,,,,,,
Void Chair,2016-01-01,2.0,8,"Horror, Mystery",,,,,,,
Predadoras,2004-01-01,0.0,22,Horror,,,,,,,
Grave Intentions,2021-10-15,5.5,88,Horror,,,,,,,
Freddy,2021-10-08,4.8,60,"Drama, Horror, Thriller, TV Movie",,,,,,,
Infernicus,2019-09-15,0.0,52,"Crime, Horror, Mystery",,,,,,,
Ghost Dog,2021-10-12,0.0,7,"Comedy, Horror",,,,,,,
The Covid Killer,2021-11-01,1.0,83,"Crime, Horror, Thriller",,,,,,,
Kamu Tidak Sendiri,2022-02-17,7.5,108,"Comedy, Drama, Horror, Thriller",,,,,,,
Death Link,2021-11-29,6.0,86,Horror,,,,,,,
The Funeral,2022-04-01,6.0,103,Horror,,,,,,,
Poo Saandi Varaan,2022-01-27,0.0,115,"Horror, Thriller",,,,,,,
Amy,2022-02-08,10.0,18,Horror,,,,,,,
Helix,2020-01-17,7.0,10,Horror,,,,,,,
SLR,2022-04-21,5.8,113,"Horror, Mystery, Thriller",,,,,,,
Holes,2022-03-12,10.0,18,Horror,,,,,,,
The Fabric,2022-06-23,0.0,90,"Comedy, Horror",,,,,,,
Sins of the Sisters,1994-10-01,0.0,100,"Animation, Fantasy, Horror",,,,,,,
Surrogate,2022-04-07,7.5,91,"Horror, Thriller",,,,,,,
Torihada 5~ Yofukashi no anata ni zokutto suru hanashi wo,2009-01-01,0.0,0,Horror,,,,,,,
Conspiração Fatal,2022-05-26,0.0,0,Horror,,,,,,,
Katha Kanchiki Manam Intiki,2022-04-08,7.0,140,"Comedy, Horror",,,,,,,
Seu Constantino - Memórias,2022-04-17,10.0,0,"Drama, Horror",,,,,,,
SAVJ,2022-04-19,0.0,7,"Animation, Fantasy, Horror",,,,,,,
Judaa Hoke Bhi,2022-07-15,0.0,0,"Horror, Thriller",,,,,,,
Perfection,2022-08-13,0.0,0,"Drama, Horror",,,,,,,
Digest,2022-07-01,0.0,33,Horror,,,,,,,
Hostile,2022-07-24,0.0,0,"Action, Horror",,,,,,,
ParaSense: The Naked Experiments,2022-03-25,0.0,68,"Documentary, Horror",,,,,,,
Startime: Turn of the Screw,1959-10-20,0.0,82,"Horror, Thriller, TV Movie",,,,,,,
Slasher Squad,2022-08-13,7.0,5,"Animation, Horror",,,,,,,
Insomniac,2022-08-17,0.0,12,Horror,,,,,,,
Ens Rationis,2019-03-07,0.0,15,"Fantasy, Horror",,,,,,,
Delirium,2022-09-01,0.0,22,Horror,,,,,,,
Helena,2022-09-01,0.0,9,Horror,,,,,,,
Mutant Vampires From The Planet Neptune,2021-07-12,0.0,0,"Comedy, Horror, Science Fiction",,,,,,,
Sweet,2019-09-01,0.0,6,"Drama, Horror, Thriller",,,,,,,
Pachinko Horrifying Urban Legend,2013-01-01,0.0,92,"Comedy, Horror, Mystery",,,,,,,
Cookies,2022-06-07,0.0,3,"Comedy, Horror",,,,,,,
A Place Called Clayhill,2019-09-09,0.0,33,"Animation, Comedy, Family, Horror",,,,,,,
La clínica satánica del aborto,2020-12-17,0.0,0,"Animation, Comedy, Horror",,,,,,,
Debunk,2022-10-01,0.0,96,"Comedy, Horror",,,,,,,
Grand Guignol,2022-10-28,0.0,0,"Horror, Mystery, Romance",,,,,,,
Bloodlines: The Jersey Devil Curse,2022-10-06,0.0,79,"Documentary, Horror",,,,,,,
When The Earth Gives Up The Dead,2022-10-31,0.0,0,Horror,,,,,,,
Patrons,2022-10-07,0.0,1,Horror,,,,,,,
Beaten to Death,2022-10-21,0.0,0,Horror,,,,,,,
The Devil's Music,2008-03-30,4.0,89,"Comedy, Crime, Documentary, Horror",,,,,,,
Race War: The Remake,2012-02-21,0.0,0,"Comedy, Horror",,,,,,,
Charlotte: The Return,2019-07-16,5.5,76,Horror,,,,,,,
The Lake,2020-10-28,0.0,6,Horror,,,,,,,
Puppy,2007-01-28,0.0,79,"Comedy, Horror",,,,,,,
The Theta Girl,2017-10-13,5.8,98,"Action, Horror, Science Fiction",,,,,,,
Paranormal Attraction,2020-10-27,5.8,89,Horror,,,,,,,
Savaged,2008-01-01,0.0,85,Horror,,,,,,,
Doctor Faustus,1967-10-10,5.4,93,"Drama, Horror, Mystery",,,,,,,
Creepshow Raw: Insomnia,2009-10-30,0.0,8,Horror,,,,,,,
Demented Death Farm Massacre,1971-01-01,2.7,85,"Comedy, Horror, Thriller",,,,,,,
Alicia,1994-01-01,4.6,8,"Fantasy, Horror",,,,,,,
Heart Breaker,2022-10-31,0.0,4,"Comedy, Horror",,,,,,,
"Wicked, Wicked",1973-06-13,5.2,95,Horror,,,,,,,
Antfarm Dickhole,2011-11-21,3.0,85,Horror,,,,,,,
Eaters,2015-10-06,2.9,90,"Horror, Thriller",,,,,,,
Angel Whispers,2015-04-16,4.9,85,"Horror, Thriller",,,,,,,
Slaughterhouse Slumber Party,2019-07-20,4.0,85,"Comedy, Horror",,,,,,,
Sorry I Killed You,2021-01-01,5.9,99,"Comedy, Horror",,,,,,,
Clean Break,2013-11-30,5.3,85,"Horror, Thriller",,,,,,,
The Off Season,2004-10-28,4.1,90,Horror,,,,,,,
666: The Beast,2007-10-16,4.3,89,"Horror, Thriller",,,,,,,
Mary Jane Harper Cried Last Night,1977-10-05,0.0,100,"Drama, Horror, TV Movie",,,,,,,
Apparition of Evil,2014-10-07,4.6,74,Horror,,,,,,,
Dislike,2016-09-22,3.2,85,Horror,,,,,,,
Murder In The Woods,2017-08-14,6.5,88,Horror,,,,,,,
Bloody Sect,1982-01-01,4.1,89,Horror,,,,,,,
Shadows on the Wall,2014-12-10,5.0,110,"Horror, Science Fiction",,,,,,,
Montrak,2017-03-18,5.2,0,"Action, Fantasy, Horror",,,,,,,
Smiley Face,2022-07-23,0.0,9,Horror,,,,,,,
Black Zoo,1963-05-15,5.5,88,Horror,,,,,,,
Final Draft,2007-09-18,4.0,90,"Horror, Thriller",,,,,,,
The Day After Halloween,2022-08-23,0.0,84,"Comedy, Horror, Mystery",,,,,,,
Le Temple,2022-08-31,0.0,17,"Animation, Horror",,,,,,,
Curse of the Swamp Creature,1968-02-01,2.5,80,"Horror, Science Fiction, TV Movie",,,,,,,
The Arrival,1991-01-01,5.1,103,"Action, Horror, Science Fiction",,,,,,,
Dr. Shagetz,1975-01-01,0.0,88,Horror,,,,,,,
Pharaoh's Curse,1957-02-01,4.2,66,Horror,,,,,,,
The Far Cry Experience,2012-11-01,7.9,30,"Adventure, Comedy, Horror",,,,,,,
St. Zombie Girls' High School,2017-05-27,10.0,80,"Action, Drama, Horror",,,,,,,
Outlier,2021-11-02,5.3,81,"Drama, Horror, Science Fiction, Thriller",,,,,,,
Pig Killer,2022-09-09,0.0,120,Horror,,,,,,,
Witches' Night,2007-10-27,5.1,81,Horror,,,,,,,
Death on a Rainy Sunday,1986-09-10,5.8,109,"Drama, Horror, Thriller",,,,,,,
Hostile,2014-10-28,0.0,90,"Drama, Fantasy, Horror",,,,,,,
Bugs,1997-01-11,0.0,85,Horror,,,,,,,
The Bad Man,2018-10-19,5.0,106,"Drama, Horror",,,,,,,
Deadly Playthings,2019-05-01,6.0,76,Horror,,,,,,,
Blight,2022-02-01,10.0,75,"Drama, Horror",,,,,,,
The Fall of the House of Usher,1982-06-01,5.5,15,"Animation, Horror, Mystery",,,,,,,
Traces Of Death V,2000-01-01,4.3,92,"Documentary, Horror",,,,,,,
A Rat in the Darkness,1979-09-13,4.7,85,"Horror, Mystery, Thriller",,,,,,,
Slink,2013-06-12,2.6,80,"Horror, Thriller",,,,,,,
Lust in Space: The Erotic Witch Project IV,2005-06-15,2.3,86,"Comedy, Horror, Science Fiction",,,,,,,
Intrude The Widow Village at Midnight,2017-04-27,0.0,0,"Horror, Mystery, Thriller",,,,,,,
Karuppu Roja,1996-12-13,6.5,150,"Action, Horror, Thriller",,,,,,,
Edge of Isolation,2018-04-20,4.0,89,"Drama, Horror, Thriller",,,,,,,
Lynch Mob,2009-09-18,2.0,99,"Crime, Horror, Thriller",,,,,,,
The Shiftling,2008-05-01,0.0,90,"Action, Adventure, Horror, Science Fiction, Thriller",,,,,,,
Woodchipper Massacre,1988-01-01,5.1,81,"Comedy, Horror",,,,,,,
Rage,2006-09-29,6.4,0,"Horror, Science Fiction",,,,,,,
The Ship of Monsters,1960-01-22,6.4,81,"Comedy, Horror, Music, Science Fiction",,,,,,,
The Frenchman's Garden,1978-06-04,6.1,93,"Drama, Horror",,,,,,,
Late Night Double Feature,2016-12-06,5.5,91,"Comedy, Horror, Thriller",,,,,,,
Trick,2019-10-16,7.0,15,"Comedy, Horror",,,,,,,
Ego,2021-12-01,5.0,93,"Drama, Horror, Thriller",,,,,,,
The Night Caller,1965-12-31,5.6,85,"Horror, Science Fiction",,,,,,,
Kuwaresma,2019-05-15,5.3,118,"Horror, Thriller",,,,,,,
Gongofer,1992-01-01,5.5,98,"Adventure, Horror, Mystery",,,,,,,
Olivia,1983-03-01,5.1,80,"Crime, Drama, Horror, Romance",,,,,,,
Lurid Tales: The Castle Queen,1997-08-26,2.8,76,"Drama, Fantasy, Horror",,,,,,,
Catskill Park,2018-11-27,3.8,93,"Horror, Science Fiction",,,,,,,
Pharmacist from Hell,1996-08-09,0.0,45,"Adventure, Animation, Horror",,,,,,,
Dying God,2008-01-01,4.0,85,"Horror, Thriller",,,,,,,
Mad at the Moon,1992-09-16,4.6,98,"Horror, Romance, Western",,,,,,,
Creaturealm: From the Dead,1998-01-01,0.0,82,Horror,,,,,,,
See You Soon,2014-10-29,5.4,1,Horror,,,,,,,
Slasher Night,2017-09-07,2.0,75,Horror,,,,,,,
Impuratus,2022-08-26,0.0,0,Horror,,,,,,,
Livescream,2018-05-25,5.7,67,Horror,,,,,,,
Occult Angel,2018-06-21,6.0,66,"Drama, Horror, Mystery",,,,,,,
The Nightmare Gallery,2019-07-18,5.5,94,"Drama, Horror, Thriller",,,,,,,
No Sin Unpunished,2019-01-21,6.0,86,Horror,,,,,,,
Silver,1999-09-21,4.7,79,"Action, Horror, Science Fiction",,,,,,,
Rage,2010-05-01,5.0,85,"Drama, Horror, Science Fiction",,,,,,,
The Devil's Messenger,1961-01-01,4.3,72,Horror,,,,,,,
Dracula,2009-10-31,1.0,82,Horror,,,,,,,
Troma: Horror Boobs,2014-01-01,0.0,77,Horror,,,,,,,
Cecilie,2007-06-01,4.3,92,"Horror, Mystery, Thriller",,,,,,,
S.N.U.B!,2010-05-24,2.3,85,"Horror, Thriller",,,,,,,
Cadaver Bay,2003-10-27,5.7,82,Horror,,,,,,,
The House That Jack Built,2009-04-30,10.0,87,Horror,,,,,,,
Lesson of the Evil: Prologue,2012-10-15,5.3,106,"Horror, Thriller",,,,,,,
The Turnpike Killer,2009-04-29,4.5,88,Horror,,,,,,,
Absolutio,2013-10-05,0.0,72,Horror,,,,,,,
Brides of Satan,2020-10-31,2.0,80,Horror,,,,,,,
The 11th Commandment,1986-03-25,3.9,84,"Horror, Thriller",,,,,,,
They Come Back,2007-03-03,4.5,88,"Horror, Mystery, TV Movie",,,,,,,
The Phantom of Regular Size,1986-01-01,6.4,18,"Horror, Science Fiction",,,,,,,
Skinwalker: Curse of the Shaman,2005-05-17,9.0,75,Horror,,,,,,,
Maniac 2: Mr. Robbie,1986-11-01,6.1,8,Horror,,,,,,,
The Witness,2012-03-21,0.0,100,"Drama, Horror, Mystery",,,,,,,
The Unseen,2017-10-01,2.0,53,Horror,,,,,,,
Ghost Writer,2019-06-04,7.3,97,"Comedy, Drama, Horror",,,,,,,
Freaky Farley,2007-10-08,8.3,83,"Comedy, Horror",,,,,,,
Cry for the Strangers,1982-02-11,7.0,97,"Horror, Thriller, TV Movie",,,,,,,
Bad Boys - Bad Toys,2007-03-15,0.0,80,"Action, Comedy, Horror",,,,,,,
The Attic,2017-01-25,5.0,72,Horror,,,,,,,
Spirits in the Dark,2020-02-10,5.0,70,"Drama, Horror, Mystery",,,,,,,
A Holy Place,1990-09-29,5.1,90,"Drama, Horror",,,,,,,
The Haunting of Seacliff Inn,1994-09-22,4.7,94,"Drama, Horror, Mystery",,,,,,,
Slit Mouth Woman in LA,2014-11-12,4.7,104,"Action, Horror, Mystery",,,,,,,
The Hoard,2018-11-25,5.6,99,"Comedy, Horror",,,,,,,
Father of Flies,2021-10-14,3.0,80,Horror,,,,,,,
If Horror is a Dance,2022-10-29,0.0,0,Horror,,,,,,,
Nails,2003-10-01,6.1,60,"Drama, Horror, Science Fiction",,,,,,,
Three Dangerous Ladies,1977-06-05,0.0,85,Horror,,,,,,,
Nocturno,1974-01-01,0.0,84,"Drama, Fantasy, Horror",,,,,,,
Karma,1988-05-21,0.0,105,Horror,,,,,,,
Yakshiyum Njanum,2010-08-20,3.0,146,Horror,,,,,,,
Black Carrion,1984-11-12,0.0,70,"Horror, Mystery, Thriller, TV Movie",,,,,,,
Tlahuelpuchi,2022-08-18,0.0,1,Horror,,,,,,,
Spiritism,1962-03-29,5.1,85,Horror,,,,,,,
Candid,2014-05-20,3.7,93,"Horror, Thriller",,,,,,,
Haunted Trailer,2014-07-22,1.0,0,"Comedy, Horror",,,,,,,
Gilgamesh,2014-11-20,1.0,0,"Drama, Fantasy, Horror",,,,,,,
Unknown Project,2013-10-24,6.0,80,"Horror, Science Fiction",,,,,,,
Ninja Zombie,1992-02-21,10.0,85,"Action, Horror",,,,,,,
Geisterjäger John Sinclair : Die Dämonenhochzeit,1997-04-13,5.0,93,Horror,,,,,,,
Hontô ni Atta Kowai Hanashi: 15th Anniversary Special,2014-08-16,6.0,120,Horror,,,,,,,
The Mutation,2021-08-04,4.4,87,Horror,,,,,,,
The Body Beneath,1970-09-29,4.8,82,Horror,,,,,,,
Death Tube- Broadcast Murder Show,2010-06-02,5.3,117,Horror,,,,,,,
Perawan Seberang,2013-08-29,10.0,81,"Drama, Horror",,,,,,,
The Ritual,2009-08-15,3.3,114,"Drama, Horror",,,,,,,
Caress of the Vampire 2: Teenage Ghoul Girl A Go-Go,1996-01-01,2.0,75,Horror,,,,,,,
Biomass,2021-03-20,6.5,87,"Horror, Science Fiction",,,,,,,
Royal Jelly,2021-09-14,7.4,93,Horror,,,,,,,
Terror-Creatures from the Grave,1965-06-23,5.9,85,"Horror, Mystery",,,,,,,
The Paperboy,1994-11-16,4.6,97,"Horror, Thriller",,,,,,,
Goliath and the Vampires,1961-08-24,4.0,92,"Action, Adventure, Fantasy, Horror",,,,,,,
Sukob,2006-03-15,5.5,100,"Drama, Horror, Thriller",,,,,,,
Blue Hole,2012-01-01,4.4,12,"Fantasy, Horror",,,,,,,
"Bruka, Queen of Evil",1973-07-18,3.0,97,"Fantasy, Horror",,,,,,,
Soorya Kireedam,2007-05-01,4.0,111,Horror,,,,,,,
Dark Ritual,2021-07-15,5.2,0,Horror,,,,,,,
Psycho Holocaust,2009-01-01,2.0,80,Horror,,,,,,,
Snow Woman,2009-01-01,4.5,0,Horror,,,,,,,
Immortal Kiss: Queen of the Night,2012-11-01,2.0,75,"Horror, Thriller",,,,,,,
Schalcken the Painter,1979-12-22,5.8,70,"Drama, Fantasy, Horror, TV Movie",,,,,,,
The Roommate,2008-07-15,6.0,90,"Horror, Thriller",,,,,,,
Wolf House,2017-01-03,4.0,70,Horror,,,,,,,
The Granny-Killer: Serial Killer,2006-01-01,5.0,90,"Crime, Horror",,,,,,,
A White Dress for Marialé,1972-11-30,5.8,92,"Horror, Thriller",,,,,,,
Suicide Dolls,1999-01-01,6.0,60,Horror,,,,,,,
Eaten Horizons,1950-12-31,5.5,3,"Fantasy, Horror",,,,,,,
Death Train,2004-12-04,1.0,54,Horror,,,,,,,
Third Eye,2014-02-26,3.2,90,Horror,,,,,,,
Black Magic Rites,1973-01-17,4.0,98,Horror,,,,,,,
Lost Paradise: Riding Habit Harakiri,1990-01-01,5.1,34,Horror,,,,,,,
Maxie,1973-01-01,2.0,89,"Comedy, Drama, Horror, Thriller",,,,,,,
Deliverance from Evil,2012-03-20,3.2,90,Horror,,,,,,,
Unwanted,2017-01-09,4.0,73,Horror,,,,,,,
Naalai Manithan,1989-01-14,10.0,107,"Drama, Horror, Science Fiction",,,,,,,
Wild Boar,2019-11-02,3.0,0,"Horror, Science Fiction",,,,,,,
KL Vampires,2019-11-14,0.0,93,"Action, Horror",,,,,,,
It Cuts Deep,2020-11-13,4.8,77,"Comedy, Horror",,,,,,,
Casting Couch Slaughter,2020-10-31,5.3,0,Horror,,,,,,,
Joker Scarecrow,2020-12-11,0.0,72,Horror,,,,,,,
Death Powder,1986-06-21,5.7,64,"Horror, Science Fiction",,,,,,,
The Adult Version of Jekyll & Hide,1972-08-10,4.4,75,Horror,,,,,,,
You're Nobody 'til Somebody Kills You,2012-07-10,4.6,86,"Horror, Thriller",,,,,,,
The Immortalizer,1990-08-29,3.1,96,"Comedy, Horror, Science Fiction",,,,,,,
Vessel,2012-10-28,5.9,14,"Horror, Science Fiction",,,,,,,
Bryan Loves You,2008-09-23,3.0,92,"Horror, Thriller",,,,,,,
Restless Souls,1998-06-18,2.8,86,"Horror, Romance, Thriller",,,,,,,
Halloween Hell,2014-01-01,3.0,87,Horror,,,,,,,
A Grim Becoming,2014-10-31,4.0,117,"Action, Comedy, Horror",,,,,,,
Blood Sombrero,2016-04-06,3.0,86,"Action, Horror",,,,,,,
Show Yourself,2016-08-20,3.3,79,"Drama, Horror",,,,,,,
Vampire Resurrection,2001-06-04,3.2,77,Horror,,,,,,,
March for the Dead,2022-10-25,0.0,15,Horror,,,,,,,
The Cut,2007-07-11,6.4,111,Horror,,,,,,,
Maniac Tales,2016-10-06,7.0,108,"Horror, Mystery, Thriller",,,,,,,
Sunod,2019-12-25,5.8,106,Horror,,,,,,,
The Gamma People,1956-12-01,5.5,79,"Comedy, Horror, Science Fiction",,,,,,,
Skeleton Key 2: 667 Neighbor of the Beast,2008-09-02,3.1,123,Horror,,,,,,,
Demon Hunter,2012-03-20,2.7,90,"Action, Horror",,,,,,,
Shake Rattle and Roll 8,2006-12-25,0.0,94,"Comedy, Horror",,,,,,,
The Brutal River,2005-06-01,5.0,87,"Action, Drama, Horror, Thriller",,,,,,,
I REC U,2015-09-25,7.0,116,"Fantasy, Horror",,,,,,,
Uncle David,2010-03-25,4.6,95,"Drama, Horror, Thriller",,,,,,,
Raaz Reboot,2016-06-17,4.2,127,Horror,,,,,,,
Creatures,2021-11-26,5.3,0,"Action, Comedy, Horror, Science Fiction",,,,,,,
A Werewolf in the Amazon,2005-09-30,5.2,77,"Comedy, Horror",,,,,,,
Bachelor Party Massacre,2006-01-01,3.0,85,Horror,,,,,,,
Closet Space,2008-09-09,2.6,0,Horror,,,,,,,
Slaughter Creek,2012-09-16,3.0,94,"Drama, Horror",,,,,,,
HazMat,2013-08-16,5.3,80,Horror,,,,,,,
Skin Crawl,2007-04-10,0.0,75,Horror,,,,,,,
Netherworld,1992-02-06,3.7,87,Horror,,,,,,,
Cup of My Blood,2005-08-30,4.9,0,Horror,,,,,,,
Carrion,2020-03-31,3.2,72,Horror,,,,,,,
Naked Massacre,1976-03-12,5.5,92,"Drama, Horror, Thriller",,,,,,,
Banned,1989-01-01,4.3,0,"Comedy, Fantasy, Horror, Music",,,,,,,
Evil Town,1987-06-02,3.8,82,Horror,,,,,,,
The Face of Fear,1990-09-30,7.8,96,"Horror, Thriller, TV Movie",,,,,,,
Driller,2006-10-11,4.3,85,"Horror, Science Fiction",,,,,,,
To Tokyo,2018-11-01,6.2,77,"Drama, Fantasy, Horror, Thriller",,,,,,,
Necropolis: Legion,2019-11-18,8.0,61,Horror,,,,,,,
Finding Randy,2020-06-05,5.5,85,"Horror, Mystery, Thriller",,,,,,,
The Crumbs,2020-10-22,4.8,110,"Horror, Thriller",,,,,,,
Cactus Jack,2021-01-22,6.5,85,"Drama, Horror, Thriller",,,,,,,
Conjuring the Genie,2021-05-05,2.0,91,Horror,,,,,,,
Where Evil Lives,1991-01-01,3.3,92,Horror,,,,,,,
Followed Home,2010-03-03,3.6,74,Horror,,,,,,,
Hobo with a Shotgun,2007-03-01,5.6,2,"Action, Comedy, Horror, Thriller",,,,,,,
Reality Check,2002-07-15,4.0,88,"Horror, Thriller",,,,,,,
Fixation,2022-09-09,0.0,99,"Drama, Horror, Thriller",,,,,,,
"Dr. Black, Mr. Hyde",1976-01-01,5.0,85,Horror,,,,,,,
Teenage Space Vampires,1999-05-18,3.9,90,"Comedy, Horror, Science Fiction",,,,,,,
Hard Rock Nightmare,1988-01-01,5.0,83,Horror,,,,,,,
The Alchemist,1983-03-01,4.8,84,"Horror, Thriller",,,,,,,
Shapeshifter,2005-11-27,3.9,81,Horror,,,,,,,
Moon Creek Cemetery,2017-10-31,0.0,0,Horror,,,,,,,
Hardcore to Horror,2016-01-01,9.3,33,"Documentary, Horror",,,,,,,
Something Weird,1967-01-01,4.7,80,Horror,,,,,,,
Messages,2007-06-14,3.8,102,"Horror, Thriller",,,,,,,
Goreface Killer,2002-05-05,4.4,83,Horror,,,,,,,
The Phantom of Hollywood,1974-02-12,5.9,74,"Horror, Thriller, TV Movie",,,,,,,
In Search of Dracula,1975-05-15,7.5,86,"Documentary, Horror",,,,,,,
Four,2011-01-20,6.0,129,"Comedy, Horror, Thriller",,,,,,,
The Los Angeles Ripper,2011-08-07,0.0,78,"Horror, Thriller",,,,,,,
Siren head,2020-10-31,3.5,52,"Horror, Science Fiction, Thriller",,,,,,,
Killers,1997-02-09,2.2,86,"Action, Horror, Thriller",,,,,,,
Zombie Girl: The Movie,2009-08-09,6.0,89,"Documentary, Horror",,,,,,,
The Navy vs. the Night Monsters,1966-11-01,5.0,87,"Horror, Science Fiction",,,,,,,
Web of Deception,1989-10-05,5.8,94,"Crime, Horror, Mystery, Thriller",,,,,,,
Ritual of Evil,1970-02-23,5.3,98,"Drama, Horror, TV Movie",,,,,,,
Sisters of No Mercy,2011-09-30,0.0,56,"Action, Comedy, Horror, Music, Thriller",,,,,,,
Like a Bat Outta Hell,2013-04-28,4.4,83,"Horror, Science Fiction",,,,,,,
Seizure,2017-04-11,0.0,85,Horror,,,,,,,
Fabled,2002-01-01,0.0,84,"Drama, Horror, Mystery",,,,,,,
The Dark Power,1985-06-01,4.2,81,"Comedy, Fantasy, Horror",,,,,,,
Fantasies,1982-01-18,0.0,120,"Horror, Thriller",,,,,,,
Silence & Darkness,2019-03-03,5.0,81,"Drama, Horror, Thriller",,,,,,,
The Devil's Harmony,2019-10-30,6.3,14,"Comedy, Horror, Music",,,,,,,
8 Graves,2020-05-05,5.8,90,Horror,,,,,,,
The Freeway Maniac,1989-02-01,3.6,95,"Horror, Thriller",,,,,,,
Memorias del ángel caído,1997-10-17,6.0,90,"Drama, Horror, Mystery",,,,,,,
Pesadilla en Hackaton,2019-04-07,0.0,6,"Comedy, Horror, Mystery",,,,,,,
Rock-A-Die Baby,1989-07-30,3.5,85,"Drama, Horror, Thriller",,,,,,,
Doppel,2020-04-14,3.5,84,"Horror, Science Fiction",,,,,,,
What the Waters Left Behind: Scars,2022-04-09,10.0,85,Horror,,,,,,,
Genocide,1968-11-09,4.8,84,"Horror, Science Fiction",,,,,,,
The Vampire of Soho,2018-11-01,0.0,0,"Comedy, Horror, Romance",,,,,,,
Alien Escape,1997-12-16,3.7,85,"Horror, Science Fiction",,,,,,,
Alice Cooper: The Nightmare,1975-04-25,8.0,66,"Horror, Music, TV Movie",,,,,,,
Direct to Video: Straight to Video Horror of the 90s,2019-10-12,4.3,106,"Documentary, Horror",,,,,,,
Tales of the Bizarre: SMAP Special,2001-01-01,0.0,125,"Comedy, Drama, Horror, Mystery",,,,,,,
